item,qty,price usd,info,link
"Primary , secondary telescope mirros ",1,60.25,150F750 + 30mm,https://www.aliexpress.com/item/1005002663239801.html?spm=a2g0o.cart.0.0.43b8378dwgW6WL&mp=1
Focuser,1,21.37,focuse by adjusting the eyepiece,https://www.aliexpress.com/item/1005008985112032.html?spm=a2g0o.cart.0.0.43b8378dwgW6WL&mp=1
eye piece,1,56.58,6mm,https://www.aliexpress.com/item/1005010558875774.html?spm=a2g0o.cart.0.0.43b8378dwgW6WL&mp=1
Finder scope,1,9.81,,https://www.aliexpress.com/item/1005004505440739.html?spm=a2g0o.cart.0.0.43b8378dwgW6WL&mp=1
Pvc tube,1,9.06,200mm diameter,https://bnova.ma/product/tube-pinoplast-o200-orange-6m/
teflon pads,8,7.11,for removing friction ,https://www.aliexpress.com/item/1005008788713900.html?spm=a2g0o.cart.0.0.43b8378dwgW6WL&mp=1
3d printing shipping ,1,40,shipping from legion,https://printlegion.hackclub.com/
tmc2209,2,14.24, driving the steppers ,https://www.aliexpress.com/item/1005008819518658.html?spm=a2g0o.productlist.main.5.6949616bzfTeuY&algo_pvid=0a017cfb-2015-4be3-8e50-22c117c7d87c&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008819518658%7C_p_origin_prod%3A
PCB,5,13.04,From JLCpcb with coupons,https://cart.jlcpcb.com/shopcart/cart/
tube,1,5.86,the extruding tube 4m 10mm,https://bnova.ma/product/tube-cuivre-10mm/
MDF WOOD for mounts ,1,21.31,wood to make the mounts,locally
laser cutting fee,1,30,laser cut the mdf wood,locally
esp32 wroom32,1,3.22,,https://www.aliexpress.com/item/1005004685935016.html?spm=a2g0o.productlist.main.7.2f401397RmbhuQ&algo_pvid=add323a3-95d7-4875-bb11-190b5c497625&pdp_ext_f=%7B%22order%22%3A%22785%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004685935016%7C_p_origin_prod%3A
Capacitors ,10,6.28,100uF  electrolytic,https://www.aliexpress.com/item/1005002075527957.html?spm=a2g0o.productlist.main.4.3dfc1aabCLd6JZ&aem_p4p_detail=2026062713550213498328491122760000111248&algo_pvid=350ba8a5-f78f-4caf-8998-9b4afbc1e231&pdp_ext_f=%7B%22order%22%3A%227066%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002075527957%7C_p_origin_prod%3A&search_p4p_id=2026062713550213498328491122760000111248_1
Stepper motor,2,29.8,nema 17,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.d1f0QWhJQWhJn7&productIds=1005010439456118%3A12000052414142167&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010439456118%7C_p_origin_prod%3A1005008878862351&pvid=09ae965f-1011-4f8b-9f1c-d5dffb09ef2a
"screws, nuts ",1,20.54,all the neccesary nuts and screws for this whole project,https://www.aliexpress.com/item/1005005971756266.html?spm=a2g0o.productlist.main.8.19662XTv2XTvIp&aem_p4p_detail=202606271402108147826134244090000123001&algo_pvid=90ca9f14-7574-4e00-b49b-ae607ee68aac&pdp_ext_f=%7B%22order%22%3A%222366%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005971756266%7C_p_origin_prod%3A&search_p4p_id=202606271402108147826134244090000123001_2 https://www.aliexpress.com/item/1005007278965396.html?spm=a2g0o.cart.0.0.74a8378dZozS7N&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
washers,20,3.22,,https://www.aliexpress.com/item/1005007625630719.html?spm=a2g0o.productlist.main.8.b0c1KflpKflprH&aem_p4p_detail=20260627141538111947261153080000131455&algo_pvid=c498ad7b-7130-4591-8e22-1ecd2e744524&pdp_ext_f=%7B%22order%22%3A%228335%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007625630719%7C_p_origin_prod%3A&search_p4p_id=20260627141538111947261153080000131455_2
black paint aerosol,1,5.22,to paint the interior of pvc black,https://mrbricolage.ma/produit/aerosol-peinture-ral-6/
silicone adhesive ,1,2.93,glue'ing the primary mirrors ,https://www.aliexpress.com/item/1005011532501535.html?spm=a2g0o.cart.0.0.26e6378dvaomam&mp=1
,,,,
,,,,
,,TOTAL : 359.84 USD,,
